# seed=123456
# instance=BALANCED
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.75)
# mutation=p0=0.05,pMin=0.002,alpha=0.9
# tournamentK=3
# elitism=3
# lambda_similarity=0.9
# fights_per_team=20
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
23,1,-0.7500,0.7500,0.0000,-0.3552,0.0635,"0 14 29 12 29 9 23 6 36 35 2 3 21 24 23 21 30 3 17 6 1 1 42 5 2 0 4 13 29 18 35 2 17 40 4 39 26 33 7 16 40 23 32 7 42 39 31 7 21 4 23 36 29 16 15 34 9 8 12 38 33 25 21 14 7 38 0 7 17 24 35 9 41 21 4 21 37 12 20 31 21 24 38 35 41 3 4 12 34 12 29 26 14 17 41 16 20 39 11 31 30 19 35 40 4 33 5 2 20 9 4 11 39 28 6 6 27 19 41 9 22 11 35 10 34 25 33 28 10 40 19 35 5 34 8 11 27 33 16 29 16 15 13 6 24 4 17 19 12 34 42 3 19 3 27 0 25 7 24 1 5 24 3 26 27 7 8 19 24 42 2 26 5 4 23 37 4 28 21 34 7 8 6 7 33 25 39 37 23 22 28 29 28 36 30 33 14 30 11 25 32 31 9 31 39 20 0 7 3 3 28 35 25 41 12 14 37 27 33 42 7 35 7 1 28 15 35 27 36 19 35 19 40 33 39 24 20 35 10 40 6 33 12 27 16 12 29 17 10 34 19 22 41 4 0 15 8 38 27 27 11 40 35 18 7 27 5 22 19 8 6 7 1 27 23 29 20 5 15 9 0 22 10 32 30 22 29 27 6 10 15 27 11 1 25 33 17 5 0 4 5 22 5 20 33 21 26 14 6 22 5 18 14 22 9 17 27 15 6 31 7 3 21 36 7 27 7 26 16 41 7 6 32 8 8 1 18 38 22 30 39 27 22 27 20 19 15 24 11 13 16 7 24 30 8 24 9 39 14 33 6 25 6 9 18 36 25 18 34 1 34 9 2 41 0 25 21 18 41 5 12 37 18 24 25 8 30 12 4 36 2 18 3 17 33 29 39 30 3 39 36 22 13 34 34 9 29 39 12 13 12 11 27 16 17 21 10 39 19 0 41 37 31 30 28 5 12 29 4 14 40 18 19 41 2 14 38 29 2 20 27 6 3 34 14 2 14 2 30 29 15 39 36 38 11 11 15 31 21 18 10 26 28 28 4 17 9 38 24 27 39 28 25 1 31 30 3 14 18 9 30 21 3 34 6 38 19 37 11 35 22 16 40 1 5 22 21 37 42 41"
24,1,-0.7500,0.7500,0.0000,-0.3492,0.0776,"0 14 29 12 29 9 23 6 36 35 2 3 21 24 23 21 30 3 17 6 1 1 42 5 2 0 4 13 29 18 35 2 17 40 4 39 26 33 7 16 40 23 32 7 42 39 31 7 21 4 23 36 29 16 15 34 9 8 12 38 33 25 21 14 7 38 0 7 17 24 35 9 41 21 4 21 37 12 20 31 21 24 38 35 41 3 4 12 34 12 29 26 14 17 41 16 20 39 11 31 30 19 35 40 4 33 5 2 20 9 4 11 39 28 6 6 27 19 41 9 22 11 35 10 34 25 33 28 10 40 19 35 5 34 8 11 27 33 16 29 16 15 13 6 24 4 17 19 12 34 42 3 19 3 27 0 25 7 24 1 5 24 3 26 27 7 8 19 24 42 2 26 5 4 23 37 4 28 21 34 7 8 6 7 33 25 39 37 23 22 28 29 28 36 30 33 14 30 11 25 32 31 9 31 39 20 0 7 3 3 28 35 25 41 12 14 37 27 33 42 7 35 7 1 28 15 35 27 36 19 35 19 40 33 39 24 20 35 10 40 6 33 12 27 16 12 29 17 10 34 19 22 41 4 0 15 8 38 27 27 11 40 35 18 7 27 5 22 19 8 6 7 1 27 23 29 20 5 15 9 0 22 10 32 30 22 29 27 6 10 15 27 11 1 25 33 17 5 0 4 5 22 5 20 33 21 26 14 6 22 5 18 14 22 9 17 27 15 6 31 7 3 21 36 7 27 7 26 16 41 7 6 32 8 8 1 18 38 22 30 39 27 22 27 20 19 15 24 11 13 16 7 24 30 8 24 9 39 14 33 6 25 6 9 18 36 25 18 34 1 34 9 2 41 0 25 21 18 41 5 12 37 18 24 25 8 30 12 4 36 2 18 3 17 33 29 39 30 3 39 36 22 13 34 34 9 29 39 12 13 12 11 27 16 17 21 10 39 19 0 41 37 31 30 28 5 12 29 4 14 40 18 19 41 2 14 38 29 2 20 27 6 3 34 14 2 14 2 30 29 15 39 36 38 11 11 15 31 21 18 10 26 28 28 4 17 9 38 24 27 39 28 25 1 31 30 3 14 18 9 30 21 3 34 6 38 19 37 11 35 22 16 40 1 5 22 21 37 42 41"
25,1,-0.7500,0.7500,0.0000,-0.3470,0.0763,"0 14 29 12 29 9 23 6 36 35 2 3 21 24 23 21 30 3 17 6 1 1 42 5 2 0 4 13 29 18 35 2 17 40 4 39 26 33 7 16 40 23 32 7 42 39 31 7 21 4 23 36 29 16 15 34 9 8 12 38 33 25 21 14 7 38 0 7 17 24 35 9 41 21 4 21 37 12 20 31 21 24 38 35 41 3 4 12 34 12 29 26 14 17 41 16 20 39 11 31 30 19 35 40 4 33 5 2 20 9 4 11 39 28 6 6 27 19 41 9 22 11 35 10 34 25 33 28 10 40 19 35 5 34 8 11 27 33 16 29 16 15 13 6 24 4 17 19 12 34 42 3 19 3 27 0 25 7 24 1 5 24 3 26 27 7 8 19 24 42 2 26 5 4 23 37 4 28 21 34 7 8 6 7 33 25 39 37 23 22 28 29 28 36 30 33 14 30 11 25 32 31 9 31 39 20 0 7 3 3 28 35 25 41 12 14 37 27 33 42 7 35 7 1 28 15 35 27 36 19 35 19 40 33 39 24 20 35 10 40 6 33 12 27 16 12 29 17 10 34 19 22 41 4 0 15 8 38 27 27 11 40 35 18 7 27 5 22 19 8 6 7 1 27 23 29 20 5 15 9 0 22 10 32 30 22 29 27 6 10 15 27 11 1 25 33 17 5 0 4 5 22 5 20 33 21 26 14 6 22 5 18 14 22 9 17 27 15 6 31 7 3 21 36 7 27 7 26 16 41 7 6 32 8 8 1 18 38 22 30 39 27 22 27 20 19 15 24 11 13 16 7 24 30 8 24 9 39 14 33 6 25 6 9 18 36 25 18 34 1 34 9 2 41 0 25 21 18 41 5 12 37 18 24 25 8 30 12 4 36 2 18 3 17 33 29 39 30 3 39 36 22 13 34 34 9 29 39 12 13 12 11 27 16 17 21 10 39 19 0 41 37 31 30 28 5 12 29 4 14 40 18 19 41 2 14 38 29 2 20 27 6 3 34 14 2 14 2 30 29 15 39 36 38 11 11 15 31 21 18 10 26 28 28 4 17 9 38 24 27 39 28 25 1 31 30 3 14 18 9 30 21 3 34 6 38 19 37 11 35 22 16 40 1 5 22 21 37 42 41"
26,1,-0.7500,0.7500,0.0000,-0.3549,0.0981,"0 14 29 12 29 9 23 6 36 35 2 3 21 24 23 21 30 3 17 6 1 1 42 5 2 0 4 13 29 18 35 2 17 40 4 39 26 33 7 16 40 23 32 7 42 39 31 7 21 4 23 36 29 16 15 34 9 8 12 38 33 25 21 14 7 38 0 7 17 24 35 9 41 21 4 21 37 12 20 31 21 24 38 35 41 3 4 12 34 12 29 26 14 17 41 16 20 39 11 31 30 19 35 40 4 33 5 2 20 9 4 11 39 28 6 6 27 19 41 9 22 11 35 10 34 25 33 28 10 40 19 35 5 34 8 11 27 33 16 29 16 15 13 6 24 4 17 19 12 34 42 3 19 3 27 0 25 7 24 1 5 24 3 26 27 7 8 19 24 42 2 26 5 4 23 37 4 28 21 34 7 8 6 7 33 25 39 37 23 22 28 29 28 36 30 33 14 30 11 25 32 31 9 31 39 20 0 7 3 3 28 35 25 41 12 14 37 27 33 42 7 35 7 1 28 15 35 27 36 19 35 19 40 33 39 24 20 35 10 40 6 33 12 27 16 12 29 17 10 34 19 22 41 4 0 15 8 38 27 27 11 40 35 18 7 27 5 22 19 8 6 7 1 27 23 29 20 5 15 9 0 22 10 32 30 22 29 27 6 10 15 27 11 1 25 33 17 5 0 4 5 22 5 20 33 21 26 14 6 22 5 18 14 22 9 17 27 15 6 31 7 3 21 36 7 27 7 26 16 41 7 6 32 8 8 1 18 38 22 30 39 27 22 27 20 19 15 24 11 13 16 7 24 30 8 24 9 39 14 33 6 25 6 9 18 36 25 18 34 1 34 9 2 41 0 25 21 18 41 5 12 37 18 24 25 8 30 12 4 36 2 18 3 17 33 29 39 30 3 39 36 22 13 34 34 9 29 39 12 13 12 11 27 16 17 21 10 39 19 0 41 37 31 30 28 5 12 29 4 14 40 18 19 41 2 14 38 29 2 20 27 6 3 34 14 2 14 2 30 29 15 39 36 38 11 11 15 31 21 18 10 26 28 28 4 17 9 38 24 27 39 28 25 1 31 30 3 14 18 9 30 21 3 34 6 38 19 37 11 35 22 16 40 1 5 22 21 37 42 41"
27,1,-0.7500,0.7500,0.0000,-0.3518,0.0541,"0 14 29 12 29 9 23 6 36 35 2 3 21 24 23 21 30 3 17 6 1 1 42 5 2 0 4 13 29 18 35 2 17 40 4 39 26 33 7 16 40 23 32 7 42 39 31 7 21 4 23 36 29 16 15 34 9 8 12 38 33 25 21 14 7 38 0 7 17 24 35 9 41 21 4 21 37 12 20 31 21 24 38 35 41 3 4 12 34 12 29 26 14 17 41 16 20 39 11 31 30 19 35 40 4 33 5 2 20 9 4 11 39 28 6 6 27 19 41 9 22 11 35 10 34 25 33 28 10 40 19 35 5 34 8 11 27 33 16 29 16 15 13 6 24 4 17 19 12 34 42 3 19 3 27 0 25 7 24 1 5 24 3 26 27 7 8 19 24 42 2 26 5 4 23 37 4 28 21 34 7 8 6 7 33 25 39 37 23 22 28 29 28 36 30 33 14 30 11 25 32 31 9 31 39 20 0 7 3 3 28 35 25 41 12 14 37 27 33 42 7 35 7 1 28 15 35 27 36 19 35 19 40 33 39 24 20 35 10 40 6 33 12 27 16 12 29 17 10 34 19 22 41 4 0 15 8 38 27 27 11 40 35 18 7 27 5 22 19 8 6 7 1 27 23 29 20 5 15 9 0 22 10 32 30 22 29 27 6 10 15 27 11 1 25 33 17 5 0 4 5 22 5 20 33 21 26 14 6 22 5 18 14 22 9 17 27 15 6 31 7 3 21 36 7 27 7 26 16 41 7 6 32 8 8 1 18 38 22 30 39 27 22 27 20 19 15 24 11 13 16 7 24 30 8 24 9 39 14 33 6 25 6 9 18 36 25 18 34 1 34 9 2 41 0 25 21 18 41 5 12 37 18 24 25 8 30 12 4 36 2 18 3 17 33 29 39 30 3 39 36 22 13 34 34 9 29 39 12 13 12 11 27 16 17 21 10 39 19 0 41 37 31 30 28 5 12 29 4 14 40 18 19 41 2 14 38 29 2 20 27 6 3 34 14 2 14 2 30 29 15 39 36 38 11 11 15 31 21 18 10 26 28 28 4 17 9 38 24 27 39 28 25 1 31 30 3 14 18 9 30 21 3 34 6 38 19 37 11 35 22 16 40 1 5 22 21 37 42 41"
28,1,-0.7500,0.7500,0.0000,-0.3462,0.0273,"0 14 29 12 29 9 23 6 36 35 2 3 21 24 23 21 30 3 17 6 1 1 42 5 2 0 4 13 29 18 35 2 17 40 4 39 26 33 7 16 40 23 32 7 42 39 31 7 21 4 23 36 29 16 15 34 9 8 12 38 33 25 21 14 7 38 0 7 17 24 35 9 41 21 4 21 37 12 20 31 21 24 38 35 41 3 4 12 34 12 29 26 14 17 41 16 20 39 11 31 30 19 35 40 4 33 5 2 20 9 4 11 39 28 6 6 27 19 41 9 22 11 35 10 34 25 33 28 10 40 19 35 5 34 8 11 27 33 16 29 16 15 13 6 24 4 17 19 12 34 42 3 19 3 27 0 25 7 24 1 5 24 3 26 27 7 8 19 24 42 2 26 5 4 23 37 4 28 21 34 7 8 6 7 33 25 39 37 23 22 28 29 28 36 30 33 14 30 11 25 32 31 9 31 39 20 0 7 3 3 28 35 25 41 12 14 37 27 33 42 7 35 7 1 28 15 35 27 36 19 35 19 40 33 39 24 20 35 10 40 6 33 12 27 16 12 29 17 10 34 19 22 41 4 0 15 8 38 27 27 11 40 35 18 7 27 5 22 19 8 6 7 1 27 23 29 20 5 15 9 0 22 10 32 30 22 29 27 6 10 15 27 11 1 25 33 17 5 0 4 5 22 5 20 33 21 26 14 6 22 5 18 14 22 9 17 27 15 6 31 7 3 21 36 7 27 7 26 16 41 7 6 32 8 8 1 18 38 22 30 39 27 22 27 20 19 15 24 11 13 16 7 24 30 8 24 9 39 14 33 6 25 6 9 18 36 25 18 34 1 34 9 2 41 0 25 21 18 41 5 12 37 18 24 25 8 30 12 4 36 2 18 3 17 33 29 39 30 3 39 36 22 13 34 34 9 29 39 12 13 12 11 27 16 17 21 10 39 19 0 41 37 31 30 28 5 12 29 4 14 40 18 19 41 2 14 38 29 2 20 27 6 3 34 14 2 14 2 30 29 15 39 36 38 11 11 15 31 21 18 10 26 28 28 4 17 9 38 24 27 39 28 25 1 31 30 3 14 18 9 30 21 3 34 6 38 19 37 11 35 22 16 40 1 5 22 21 37 42 41"
29,1,-0.7500,0.7500,0.0000,-0.3545,0.1022,"0 14 29 12 29 9 23 6 36 35 2 3 21 24 23 21 30 3 17 6 1 1 42 5 2 0 4 13 29 18 35 2 17 40 4 39 26 33 7 16 40 23 32 7 42 39 31 7 21 4 23 36 29 16 15 34 9 8 12 38 33 25 21 14 7 38 0 7 17 24 35 9 41 21 4 21 37 12 20 31 21 24 38 35 41 3 4 12 34 12 29 26 14 17 41 16 20 39 11 31 30 19 35 40 4 33 5 2 20 9 4 11 39 28 6 6 27 19 41 9 22 11 35 10 34 25 33 28 10 40 19 35 5 34 8 11 27 33 16 29 16 15 13 6 24 4 17 19 12 34 42 3 19 3 27 0 25 7 24 1 5 24 3 26 27 7 8 19 24 42 2 26 5 4 23 37 4 28 21 34 7 8 6 7 33 25 39 37 23 22 28 29 28 36 30 33 14 30 11 25 32 31 9 31 39 20 0 7 3 3 28 35 25 41 12 14 37 27 33 42 7 35 7 1 28 15 35 27 36 19 35 19 40 33 39 24 20 35 10 40 6 33 12 27 16 12 29 17 10 34 19 22 41 4 0 15 8 38 27 27 11 40 35 18 7 27 5 22 19 8 6 7 1 27 23 29 20 5 15 9 0 22 10 32 30 22 29 27 6 10 15 27 11 1 25 33 17 5 0 4 5 22 5 20 33 21 26 14 6 22 5 18 14 22 9 17 27 15 6 31 7 3 21 36 7 27 7 26 16 41 7 6 32 8 8 1 18 38 22 30 39 27 22 27 20 19 15 24 11 13 16 7 24 30 8 24 9 39 14 33 6 25 6 9 18 36 25 18 34 1 34 9 2 41 0 25 21 18 41 5 12 37 18 24 25 8 30 12 4 36 2 18 3 17 33 29 39 30 3 39 36 22 13 34 34 9 29 39 12 13 12 11 27 16 17 21 10 39 19 0 41 37 31 30 28 5 12 29 4 14 40 18 19 41 2 14 38 29 2 20 27 6 3 34 14 2 14 2 30 29 15 39 36 38 11 11 15 31 21 18 10 26 28 28 4 17 9 38 24 27 39 28 25 1 31 30 3 14 18 9 30 21 3 34 6 38 19 37 11 35 22 16 40 1 5 22 21 37 42 41"
30,1,-0.7500,0.7500,0.0000,-0.3479,0.1167,"0 14 29 12 29 9 23 6 36 35 2 3 21 24 23 21 30 3 17 6 1 1 42 5 2 0 4 13 29 18 35 2 17 40 4 39 26 33 7 16 40 23 32 7 42 39 31 7 21 4 23 36 29 16 15 34 9 8 12 38 33 25 21 14 7 38 0 7 17 24 35 9 41 21 4 21 37 12 20 31 21 24 38 35 41 3 4 12 34 12 29 26 14 17 41 16 20 39 11 31 30 19 35 40 4 33 5 2 20 9 4 11 39 28 6 6 27 19 41 9 22 11 35 10 34 25 33 28 10 40 19 35 5 34 8 11 27 33 16 29 16 15 13 6 24 4 17 19 12 34 42 3 19 3 27 0 25 7 24 1 5 24 3 26 27 7 8 19 24 42 2 26 5 4 23 37 4 28 21 34 7 8 6 7 33 25 39 37 23 22 28 29 28 36 30 33 14 30 11 25 32 31 9 31 39 20 0 7 3 3 28 35 25 41 12 14 37 27 33 42 7 35 7 1 28 15 35 27 36 19 35 19 40 33 39 24 20 35 10 40 6 33 12 27 16 12 29 17 10 34 19 22 41 4 0 15 8 38 27 27 11 40 35 18 7 27 5 22 19 8 6 7 1 27 23 29 20 5 15 9 0 22 10 32 30 22 29 27 6 10 15 27 11 1 25 33 17 5 0 4 5 22 5 20 33 21 26 14 6 22 5 18 14 22 9 17 27 15 6 31 7 3 21 36 7 27 7 26 16 41 7 6 32 8 8 1 18 38 22 30 39 27 22 27 20 19 15 24 11 13 16 7 24 30 8 24 9 39 14 33 6 25 6 9 18 36 25 18 34 1 34 9 2 41 0 25 21 18 41 5 12 37 18 24 25 8 30 12 4 36 2 18 3 17 33 29 39 30 3 39 36 22 13 34 34 9 29 39 12 13 12 11 27 16 17 21 10 39 19 0 41 37 31 30 28 5 12 29 4 14 40 18 19 41 2 14 38 29 2 20 27 6 3 34 14 2 14 2 30 29 15 39 36 38 11 11 15 31 21 18 10 26 28 28 4 17 9 38 24 27 39 28 25 1 31 30 3 14 18 9 30 21 3 34 6 38 19 37 11 35 22 16 40 1 5 22 21 37 42 41"
31,1,-0.7500,0.7500,0.0000,-0.3460,0.0558,"0 14 29 12 29 9 23 6 36 35 2 3 21 24 23 21 30 3 17 6 1 1 42 5 2 0 4 13 29 18 35 2 17 40 4 39 26 33 7 16 40 23 32 7 42 39 31 7 21 4 23 36 29 16 15 34 9 8 12 38 33 25 21 14 7 38 0 7 17 24 35 9 41 21 4 21 37 12 20 31 21 24 38 35 41 3 4 12 34 12 29 26 14 17 41 16 20 39 11 31 30 19 35 40 4 33 5 2 20 9 4 11 39 28 6 6 27 19 41 9 22 11 35 10 34 25 33 28 10 40 19 35 5 34 8 11 27 33 16 29 16 15 13 6 24 4 17 19 12 34 42 3 19 3 27 0 25 7 24 1 5 24 3 26 27 7 8 19 24 42 2 26 5 4 23 37 4 28 21 34 7 8 6 7 33 25 39 37 23 22 28 29 28 36 30 33 14 30 11 25 32 31 9 31 39 20 0 7 3 3 28 35 25 41 12 14 37 27 33 42 7 35 7 1 28 15 35 27 36 19 35 19 40 33 39 24 20 35 10 40 6 33 12 27 16 12 29 17 10 34 19 22 41 4 0 15 8 38 27 27 11 40 35 18 7 27 5 22 19 8 6 7 1 27 23 29 20 5 15 9 0 22 10 32 30 22 29 27 6 10 15 27 11 1 25 33 17 5 0 4 5 22 5 20 33 21 26 14 6 22 5 18 14 22 9 17 27 15 6 31 7 3 21 36 7 27 7 26 16 41 7 6 32 8 8 1 18 38 22 30 39 27 22 27 20 19 15 24 11 13 16 7 24 30 8 24 9 39 14 33 6 25 6 9 18 36 25 18 34 1 34 9 2 41 0 25 21 18 41 5 12 37 18 24 25 8 30 12 4 36 2 18 3 17 33 29 39 30 3 39 36 22 13 34 34 9 29 39 12 13 12 11 27 16 17 21 10 39 19 0 41 37 31 30 28 5 12 29 4 14 40 18 19 41 2 14 38 29 2 20 27 6 3 34 14 2 14 2 30 29 15 39 36 38 11 11 15 31 21 18 10 26 28 28 4 17 9 38 24 27 39 28 25 1 31 30 3 14 18 9 30 21 3 34 6 38 19 37 11 35 22 16 40 1 5 22 21 37 42 41"
32,1,-0.7500,0.7500,0.0000,-0.3539,0.1011,"0 14 29 12 29 9 23 6 36 35 2 3 21 24 23 21 30 3 17 6 1 1 42 5 2 0 4 13 29 18 35 2 17 40 4 39 26 33 7 16 40 23 32 7 42 39 31 7 21 4 23 36 29 16 15 34 9 8 12 38 33 25 21 14 7 38 0 7 17 24 35 9 41 21 4 21 37 12 20 31 21 24 38 35 41 3 4 12 34 12 29 26 14 17 41 16 20 39 11 31 30 19 35 40 4 33 5 2 20 9 4 11 39 28 6 6 27 19 41 9 22 11 35 10 34 25 33 28 10 40 19 35 5 34 8 11 27 33 16 29 16 15 13 6 24 4 17 19 12 34 42 3 19 3 27 0 25 7 24 1 5 24 3 26 27 7 8 19 24 42 2 26 5 4 23 37 4 28 21 34 7 8 6 7 33 25 39 37 23 22 28 29 28 36 30 33 14 30 11 25 32 31 9 31 39 20 0 7 3 3 28 35 25 41 12 14 37 27 33 42 7 35 7 1 28 15 35 27 36 19 35 19 40 33 39 24 20 35 10 40 6 33 12 27 16 12 29 17 10 34 19 22 41 4 0 15 8 38 27 27 11 40 35 18 7 27 5 22 19 8 6 7 1 27 23 29 20 5 15 9 0 22 10 32 30 22 29 27 6 10 15 27 11 1 25 33 17 5 0 4 5 22 5 20 33 21 26 14 6 22 5 18 14 22 9 17 27 15 6 31 7 3 21 36 7 27 7 26 16 41 7 6 32 8 8 1 18 38 22 30 39 27 22 27 20 19 15 24 11 13 16 7 24 30 8 24 9 39 14 33 6 25 6 9 18 36 25 18 34 1 34 9 2 41 0 25 21 18 41 5 12 37 18 24 25 8 30 12 4 36 2 18 3 17 33 29 39 30 3 39 36 22 13 34 34 9 29 39 12 13 12 11 27 16 17 21 10 39 19 0 41 37 31 30 28 5 12 29 4 14 40 18 19 41 2 14 38 29 2 20 27 6 3 34 14 2 14 2 30 29 15 39 36 38 11 11 15 31 21 18 10 26 28 28 4 17 9 38 24 27 39 28 25 1 31 30 3 14 18 9 30 21 3 34 6 38 19 37 11 35 22 16 40 1 5 22 21 37 42 41"
33,1,-0.7500,0.7500,0.0000,-0.3477,0.0449,"0 14 29 12 29 9 23 6 36 35 2 3 21 24 23 21 30 3 17 6 1 1 42 5 2 0 4 13 29 18 35 2 17 40 4 39 26 33 7 16 40 23 32 7 42 39 31 7 21 4 23 36 29 16 15 34 9 8 12 38 33 25 21 14 7 38 0 7 17 24 35 9 41 21 4 21 37 12 20 31 21 24 38 35 41 3 4 12 34 12 29 26 14 17 41 16 20 39 11 31 30 19 35 40 4 33 5 2 20 9 4 11 39 28 6 6 27 19 41 9 22 11 35 10 34 25 33 28 10 40 19 35 5 34 8 11 27 33 16 29 16 15 13 6 24 4 17 19 12 34 42 3 19 3 27 0 25 7 24 1 5 24 3 26 27 7 8 19 24 42 2 26 5 4 23 37 4 28 21 34 7 8 6 7 33 25 39 37 23 22 28 29 28 36 30 33 14 30 11 25 32 31 9 31 39 20 0 7 3 3 28 35 25 41 12 14 37 27 33 42 7 35 7 1 28 15 35 27 36 19 35 19 40 33 39 24 20 35 10 40 6 33 12 27 16 12 29 17 10 34 19 22 41 4 0 15 8 38 27 27 11 40 35 18 7 27 5 22 19 8 6 7 1 27 23 29 20 5 15 9 0 22 10 32 30 22 29 27 6 10 15 27 11 1 25 33 17 5 0 4 5 22 5 20 33 21 26 14 6 22 5 18 14 22 9 17 27 15 6 31 7 3 21 36 7 27 7 26 16 41 7 6 32 8 8 1 18 38 22 30 39 27 22 27 20 19 15 24 11 13 16 7 24 30 8 24 9 39 14 33 6 25 6 9 18 36 25 18 34 1 34 9 2 41 0 25 21 18 41 5 12 37 18 24 25 8 30 12 4 36 2 18 3 17 33 29 39 30 3 39 36 22 13 34 34 9 29 39 12 13 12 11 27 16 17 21 10 39 19 0 41 37 31 30 28 5 12 29 4 14 40 18 19 41 2 14 38 29 2 20 27 6 3 34 14 2 14 2 30 29 15 39 36 38 11 11 15 31 21 18 10 26 28 28 4 17 9 38 24 27 39 28 25 1 31 30 3 14 18 9 30 21 3 34 6 38 19 37 11 35 22 16 40 1 5 22 21 37 42 41"
34,1,-0.7500,0.7500,0.0000,-0.3460,0.0375,"0 14 29 12 29 9 23 6 36 35 2 3 21 24 23 21 30 3 17 6 1 1 42 5 2 0 4 13 29 18 35 2 17 40 4 39 26 33 7 16 40 23 32 7 42 39 31 7 21 4 23 36 29 16 15 34 9 8 12 38 33 25 21 14 7 38 0 7 17 24 35 9 41 21 4 21 37 12 20 31 21 24 38 35 41 3 4 12 34 12 29 26 14 17 41 16 20 39 11 31 30 19 35 40 4 33 5 2 20 9 4 11 39 28 6 6 27 19 41 9 22 11 35 10 34 25 33 28 10 40 19 35 5 34 8 11 27 33 16 29 16 15 13 6 24 4 17 19 12 34 42 3 19 3 27 0 25 7 24 1 5 24 3 26 27 7 8 19 24 42 2 26 5 4 23 37 4 28 21 34 7 8 6 7 33 25 39 37 23 22 28 29 28 36 30 33 14 30 11 25 32 31 9 31 39 20 0 7 3 3 28 35 25 41 12 14 37 27 33 42 7 35 7 1 28 15 35 27 36 19 35 19 40 33 39 24 20 35 10 40 6 33 12 27 16 12 29 17 10 34 19 22 41 4 0 15 8 38 27 27 11 40 35 18 7 27 5 22 19 8 6 7 1 27 23 29 20 5 15 9 0 22 10 32 30 22 29 27 6 10 15 27 11 1 25 33 17 5 0 4 5 22 5 20 33 21 26 14 6 22 5 18 14 22 9 17 27 15 6 31 7 3 21 36 7 27 7 26 16 41 7 6 32 8 8 1 18 38 22 30 39 27 22 27 20 19 15 24 11 13 16 7 24 30 8 24 9 39 14 33 6 25 6 9 18 36 25 18 34 1 34 9 2 41 0 25 21 18 41 5 12 37 18 24 25 8 30 12 4 36 2 18 3 17 33 29 39 30 3 39 36 22 13 34 34 9 29 39 12 13 12 11 27 16 17 21 10 39 19 0 41 37 31 30 28 5 12 29 4 14 40 18 19 41 2 14 38 29 2 20 27 6 3 34 14 2 14 2 30 29 15 39 36 38 11 11 15 31 21 18 10 26 28 28 4 17 9 38 24 27 39 28 25 1 31 30 3 14 18 9 30 21 3 34 6 38 19 37 11 35 22 16 40 1 5 22 21 37 42 41"
35,1,-0.7500,0.7500,0.0000,-0.3517,0.0441,"0 14 29 12 29 9 23 6 36 35 2 3 21 24 23 21 30 3 17 6 1 1 42 5 2 0 4 13 29 18 35 2 17 40 4 39 26 33 7 16 40 23 32 7 42 39 31 7 21 4 23 36 29 16 15 34 9 8 12 38 33 25 21 14 7 38 0 7 17 24 35 9 41 21 4 21 37 12 20 31 21 24 38 35 41 3 4 12 34 12 29 26 14 17 41 16 20 39 11 31 30 19 35 40 4 33 5 2 20 9 4 11 39 28 6 6 27 19 41 9 22 11 35 10 34 25 33 28 10 40 19 35 5 34 8 11 27 33 16 29 16 15 13 6 24 4 17 19 12 34 42 3 19 3 27 0 25 7 24 1 5 24 3 26 27 7 8 19 24 42 2 26 5 4 23 37 4 28 21 34 7 8 6 7 33 25 39 37 23 22 28 29 28 36 30 33 14 30 11 25 32 31 9 31 39 20 0 7 3 3 28 35 25 41 12 14 37 27 33 42 7 35 7 1 28 15 35 27 36 19 35 19 40 33 39 24 20 35 10 40 6 33 12 27 16 12 29 17 10 34 19 22 41 4 0 15 8 38 27 27 11 40 35 18 7 27 5 22 19 8 6 7 1 27 23 29 20 5 15 9 0 22 10 32 30 22 29 27 6 10 15 27 11 1 25 33 17 5 0 4 5 22 5 20 33 21 26 14 6 22 5 18 14 22 9 17 27 15 6 31 7 3 21 36 7 27 7 26 16 41 7 6 32 8 8 1 18 38 22 30 39 27 22 27 20 19 15 24 11 13 16 7 24 30 8 24 9 39 14 33 6 25 6 9 18 36 25 18 34 1 34 9 2 41 0 25 21 18 41 5 12 37 18 24 25 8 30 12 4 36 2 18 3 17 33 29 39 30 3 39 36 22 13 34 34 9 29 39 12 13 12 11 27 16 17 21 10 39 19 0 41 37 31 30 28 5 12 29 4 14 40 18 19 41 2 14 38 29 2 20 27 6 3 34 14 2 14 2 30 29 15 39 36 38 11 11 15 31 21 18 10 26 28 28 4 17 9 38 24 27 39 28 25 1 31 30 3 14 18 9 30 21 3 34 6 38 19 37 11 35 22 16 40 1 5 22 21 37 42 41"
